normalized_name_block,exact_normalized_name_match,author_id_a,author_id_b,name_a,name_b,retained_papers_a,retained_papers_b,same_name_direct_coauthor,shared_coauthor_names,coauthor_jaccard,axis_jaccard,year_overlap,classification,recommended_action
kai wang,True,2387612032,12436933,Kai Wang,Kai Wang,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
kai wu,True,144295030,2115598027,Kai Wu,Kai Wu,1,1,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
ke chen,True,2262259696,32811782,Ke Chen,Ke Chen,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
keith smith,False,78855623,2110165016,Keith M. Smith,Keith J. Smith,3,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
keith smith,False,2110165016,2275723807,Keith J. Smith,Keith M. Smith,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
keun young kim,True,2155286648,2265619405,Keun-Young Kim,Keun-Young Kim,2,2,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
keun young kim,True,2155286648,2351405994,Keun-Young Kim,Keun-Young Kim,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
kun zhao,True,2364702855,2262113752,Kun Zhao,Kun Zhao,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
l abbott,True,145293717,2145281,L. Abbott,L. Abbott,4,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
l abbott,True,2145281,2327552391,L. Abbott,L. Abbott,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
l abbott,False,2145281,2404178285,L. Abbott,L. F. Abbott,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
l abbott,True,2145281,46386728,L. Abbott,L. Abbott,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
l abbott,False,2327552391,2404178285,L. Abbott,L. F. Abbott,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
l abbott,True,2327552391,46386728,L. Abbott,L. Abbott,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
l abbott,False,2404178285,46386728,L. F. Abbott,L. Abbott,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
l astolfi,True,3006953,2380827594,L. Astolfi,L. Astolfi,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
l barnes,False,32185410,2400626691,L. Barnes,L. L. Barnes,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
l cocchi,True,8894631,2305813793,L. Cocchi,L. Cocchi,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
l luo,True,145586825,1703897111,L. Luo,L. Luo,5,1,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
l richards,False,1731223,2244607696,L. Richards,L. J. Richards,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
l su,True,145235480,2069855184,L. Su,L. Su,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
l uddin,True,9763151,2291876084,L. Uddin,L. Uddin,7,1,False,0,0.0,0.333333,False,ambiguous_name_collision,manual_review
l williams,True,2234259876,2162166594,L. Williams,L. Williams,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
l zhang,True,48570713,1400088777,L. Zhang,L. Zhang,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
lee,True,2224674347,2450724385,Lee,Lee,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
lei li,True,50444270,2151530314,Lei Li,Lei Li,3,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
leon cai,True,2153959548,2318285906,Leon Y Cai,Leon Y Cai,1,1,False,0,0.0,0.333333,True,ambiguous_name_collision,manual_review
li chen,True,2267723029,2146027001,Li Chen,Li Chen,2,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
li chen,True,2267723029,2448920044,Li Chen,Li Chen,2,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
li chen,True,2146027001,2448920044,Li Chen,Li Chen,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
li shen,True,38862163,2312908856,Li Shen,Li Shen,4,1,False,0,0.0,0.2,False,ambiguous_name_collision,manual_review
li shen,True,38862163,2121271401,Li Shen,Li Shen,4,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
li shen,True,2312908856,2121271401,Li Shen,Li Shen,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
li wang,True,2152722680,2152715077,Li Wang,Li Wang,1,1,False,0,0.0,1.0,True,ambiguous_name_collision,manual_review
li wang,True,2152722680,2362370057,Li Wang,Li Wang,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
li wang,True,2152715077,49680659,Li Wang,Li Wang,1,2,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
li wang,True,2152715077,2362370057,Li Wang,Li Wang,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
li wang,True,2152715077,46659719,Li Wang,Li Wang,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
li wang,True,49680659,2362370057,Li Wang,Li Wang,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
li wang,True,2362370057,46659719,Li Wang,Li Wang,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
liang zhan,True,2299155137,2243975081,Liang Zhan,Liang Zhan,1,2,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
lifang he,True,40901820,40901818,Lifang He,Lifang He,1,10,False,0,0.0,0.333333,False,ambiguous_name_collision,manual_review
linqing feng,True,8315401,2261469639,Linqing Feng,Linqing Feng,6,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
liu qian,True,2023859788,2072789356,Liu Qian,Liu Qian,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
lukas frontzkowski,False,2266471580,1992768505,Lukas K Frontzkowski,Lukas Frontzkowski,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
m corbetta,True,144639500,1723344,M. Corbetta,M. Corbetta,2,7,False,0,0.0,0.333333,False,ambiguous_name_collision,manual_review
m hashemi,True,34654124,2253422050,M. Hashemi,M. Hashemi,1,2,False,0,0.0,0.333333,False,ambiguous_name_collision,manual_review
m he,True,143779099,40543897,M. Heß,M. He,2,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
m heuvel,True,2099339540,33923116,M. P. Heuvel,M. P. Heuvel,1,6,False,0,0.0,0.333333,True,ambiguous_name_collision,manual_review
m jiang,True,2152156367,2244681555,M. Jiang,M. Jiang,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
m law,True,145979301,2075447262,M. Law,M. Law,1,1,False,0,0.0,0.333333,False,ambiguous_name_collision,manual_review
m lui,True,2243120677,2346410651,M. Lui,M. Lui,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
m macdonald,True,145526224,7873160,M. Macdonald,M. MacDonald,1,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
m mahjoub,True,1707715,6514842,M. Mahjoub,M. Mahjoub,6,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
m mazri,False,2182060702,1825715236,M. F. Mazri,M. Mazri,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
m petersen,True,145854168,27457425,M. Petersen,M. Petersen,2,1,False,0,0.0,0.25,False,ambiguous_name_collision,manual_review
m reisert,True,2780327,2266824329,M. Reisert,M. Reisert,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
m reisert,True,2266824329,2344924760,M. Reisert,M. Reisert,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
m richardson,True,32692498,2105967593,M. Richardson,M. Richardson,5,1,False,0,0.0,0.333333,True,ambiguous_name_collision,manual_review
m roy,True,40560749,32932541,M. Roy,M. Roy,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
m shao,True,2292126013,5094391,M. Shao,M. Shao,2,2,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
m styner,False,143755814,2284163158,M. Styner,M.A. Styner,2,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
m styner,True,143755814,1490813437,M. Styner,M. Styner,2,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
m styner,False,2284163158,1490813437,M.A. Styner,M. Styner,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
m tisdall,True,36503437,2312051943,M. Tisdall,M. Tisdall,5,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
m tisdall,True,36503437,1805494,M. Tisdall,M. Tisdall,5,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
m ventresca,True,2642324,2294305808,M. Ventresca,M. Ventresca,2,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
m walter,True,50194916,2074167459,M. Walter,M. Walter,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
m walter,True,50194916,2280320546,M. Walter,M. Walter,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
m walter,True,2074167459,2280320546,M. Walter,M. Walter,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
m weiner,True,152560087,2339435032,M. Weiner,M. Weiner,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
m williams,False,50660783,2277159843,M. E. Williams,M. Williams,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
manuel schr ter,False,2276350375,2454741,Manuel Schröter,Manuel S. Schröter,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
manuel zimmer,True,2295960598,15271521,Manuel Zimmer,Manuel Zimmer,2,3,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
manuel zimmer,True,15271521,2324239875,Manuel Zimmer,Manuel Zimmer,3,2,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
marco agus,True,144346127,2261027323,Marco Agus,Marco Agus,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
marcus kaiser,True,144432513,144432514,Marcus Kaiser,Marcus Kaiser,5,5,False,0,0.0,0.666667,True,ambiguous_name_collision,manual_review
martijn van den heuvel,False,2298429716,2391032712,Martijn van den Heuvel,Martijn P. van den Heuvel,1,4,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
martijn van den heuvel,True,2298429716,2391032745,Martijn van den Heuvel,Martijn van den Heuvel,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
martijn van den heuvel,False,2391032712,2391032745,Martijn P. van den Heuvel,Martijn van den Heuvel,4,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
martin schmidt,True,2184803830,2448709990,Martin Schmidt,Martin Schmidt,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
matteo mancini,True,33553839,2317978509,Matteo Mancini,Matteo Mancini,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
matthew brown,False,145465728,39537740,Matthew T. C. Brown,Matthew P. Brown,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
maxwell turner,True,38402775,2286036978,Maxwell H. Turner,Maxwell H. Turner,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
meng li,True,2004582591,49141099,Meng Li,Meng Li,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
mianxin liu,True,2318246845,113076775,Mianxin Liu,Mianxin Liu,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
michael anderson,True,2319860005,2266254405,Michael Anderson,Michael Anderson,1,1,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
michael pankratz,True,2251115443,2323989130,Michael J. Pankratz,Michael J Pankratz,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
min soo kim,True,2116507415,2289862332,Min-Soo Kim,Min-Soo Kim,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
min xu,True,2153555303,1406194585,Min Xu,Min Xu,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
mingrui xia,True,2285512469,2252098228,Mingrui Xia,Mingrui Xia,1,2,False,0,0.0,1.0,True,ambiguous_name_collision,manual_review
mingxia liu,True,2128817641,7830359,Mingxia Liu,Mingxia Liu,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
mingyang li,True,2159553726,2395830870,Mingyang Li,Mingyang Li,2,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
mitul mehta,True,2336722468,2223933122,Mitul A. Mehta,Mitul A Mehta,1,1,False,0,0.0,0.333333,True,ambiguous_name_collision,manual_review
n chen,True,2251260529,31136266,N. Chen,N. Chen,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
n crossley,True,2241387577,2201472,N. Crossley,N. Crossley,1,1,False,0,0.0,0.666667,False,ambiguous_name_collision,manual_review
n parikh,True,2293437549,3484740,N. Parikh,N. Parikh,1,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
nenggan zheng,True,2261747264,39436559,Nenggan Zheng,Nenggan Zheng,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
nicholas chua,True,2248085472,2175277759,Nicholas J. Chua,Nicholas J. Chua,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
nicolas farrugia,True,2240527657,2644837,Nicolas Farrugia,Nicolas Farrugia,1,3,False,0,0.0,0.333333,False,ambiguous_name_collision,manual_review
o andreassen,True,1777021,2257730639,O. Andreassen,O. Andreassen,2,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
olaf sporns,True,2262343041,2257290101,Olaf Sporns,Olaf Sporns,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
olaf sporns,True,2238443848,2257290101,Olaf Sporns,Olaf Sporns,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
p hagmann,True,1896450,2251343912,P. Hagmann,P. Hagmann,20,1,False,0,0.0,0.25,True,ambiguous_name_collision,manual_review
p thompson,False,2149570536,2302521438,P. Thompson,P. M. Thompson,2,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
p thompson,True,2077480089,145363223,P. Thompson,P. Thompson,1,6,False,0,0.0,0.666667,True,ambiguous_name_collision,manual_review
p thompson,True,2077480089,2258889863,P. Thompson,P. Thompson,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
p thompson,False,2077480089,2302521438,P. Thompson,P. M. Thompson,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
p thompson,False,2258889863,2302521438,P. Thompson,P. M. Thompson,1,1,False,0,0.0,1.0,True,ambiguous_name_collision,manual_review
p zhao,True,46737397,2360604382,P. Zhao,P. Zhao,1,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
parul verma,True,2237133962,4587421,Parul Verma,Parul Verma,2,1,False,0,0.0,0.333333,False,ambiguous_name_collision,manual_review
paul thompson,True,2077479650,2252488132,Paul M. Thompson,Paul M. Thompson,3,2,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
paul thompson,True,2077479650,2260351082,Paul M. Thompson,Paul M. Thompson,3,1,False,0,0.0,0.333333,False,ambiguous_name_collision,manual_review
paul thompson,False,2077479650,2324081301,Paul M. Thompson,Paul Thompson,3,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
paul thompson,True,2077479650,2263661823,Paul M. Thompson,Paul M. Thompson,3,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
paul thompson,True,2077479650,2248493807,Paul M. Thompson,Paul M. Thompson,3,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2077479650,2273963610,Paul M. Thompson,Paul M. Thompson,3,1,False,0,0.0,0.333333,False,ambiguous_name_collision,manual_review
paul thompson,True,2077479650,2412444158,Paul M. Thompson,Paul M. Thompson,3,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2252488132,2267464100,Paul M. Thompson,Paul M Thompson,2,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
paul thompson,True,2252488132,2254281045,Paul M. Thompson,Paul M. Thompson,2,1,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
paul thompson,False,2252488132,2324081301,Paul M. Thompson,Paul Thompson,2,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2252488132,2263661823,Paul M. Thompson,Paul M. Thompson,2,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2252488132,2248493807,Paul M. Thompson,Paul M. Thompson,2,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
paul thompson,True,2252488132,2412444158,Paul M. Thompson,Paul M. Thompson,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2267464100,2260351082,Paul M Thompson,Paul M. Thompson,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
paul thompson,False,2267464100,2324081301,Paul M Thompson,Paul Thompson,1,1,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
paul thompson,True,2267464100,2263661823,Paul M Thompson,Paul M. Thompson,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
paul thompson,True,2267464100,2248493807,Paul M Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2267464100,2273963610,Paul M Thompson,Paul M. Thompson,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2267464100,2412444158,Paul M Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2254281045,2260351082,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,1.0,True,ambiguous_name_collision,manual_review
paul thompson,False,2254281045,2324081301,Paul M. Thompson,Paul Thompson,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
paul thompson,True,2254281045,2263661823,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
paul thompson,True,2254281045,2248493807,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
paul thompson,True,2254281045,2273963610,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2254281045,2412444158,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,False,2260351082,2324081301,Paul M. Thompson,Paul Thompson,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
paul thompson,True,2260351082,2263661823,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
paul thompson,True,2260351082,2248493807,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
paul thompson,True,2260351082,2412444158,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,False,2324081301,2263661823,Paul Thompson,Paul M. Thompson,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
paul thompson,False,2324081301,2248493807,Paul Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,False,2324081301,2273963610,Paul Thompson,Paul M. Thompson,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
paul thompson,False,2324081301,2412444158,Paul Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2263661823,2248493807,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2263661823,2273963610,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
paul thompson,True,2263661823,2412444158,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2248493807,2273963610,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2248493807,2412444158,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2273963610,2412444158,Paul M. Thompson,Paul M. Thompson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
peng cao,True,152550893,2055003817,Peng Cao,Peng Cao,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
peng xie,True,1617900570,2260468064,Peng Xie,Peng Xie,3,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
peng zhao,True,2114871426,2446885230,Peng Zhao,Peng Zhao,3,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
petr znamenskiy,True,4435177,2323940877,Petr Znamenskiy,Petr Znamenskiy,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
phoebe thomson,True,152417567,2291016834,Phoebe Thomson,Phoebe Thomson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
pierre magistretti,False,2265513953,2354363157,Pierre Magistretti,Pierre J. Magistretti,1,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
q luo,True,73287920,1436057590,Q. Luo,Q. Luo,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
qi yang,True,2109122615,2116902350,Qi Yang,Qi Yang,3,1,False,0,0.0,0.25,True,ambiguous_name_collision,manual_review
qian wang,True,2215061296,2238161863,Qian Wang,Qian Wang,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
qian wang,True,2215061296,2155616510,Qian Wang,Qian Wang,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
qian wang,True,2238161863,2155616510,Qian Wang,Qian Wang,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
qiang xu,True,145765202,2149106604,Qiang Xu,Qiang Xu,2,1,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
qing li,True,2117896467,2117895360,Qing Li,Qing Li,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
qing wang,True,2268969425,2117945774,Qing Wang,Qing Wang,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
qingyu zhao,True,2354755077,47521948,Qingyu Zhao,Qingyu Zhao,1,3,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
qiong liu,True,2154741227,2154741322,Qiong Liu,Qiong Liu,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
qiongling li,True,2242473749,2105794,Qiongling Li,Qiongling Li,3,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
qiyong gong,True,2332556775,2252895667,Qiyong Gong,Qiyong Gong,1,1,False,0,0.0,1.0,True,ambiguous_name_collision,manual_review
qiyong gong,True,2332556775,2250128181,Qiyong Gong,Qiyong Gong,1,1,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
qiyong gong,True,2274334154,2252895667,Qiyong Gong,Qiyong Gong,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
qiyong gong,True,2274334154,2250128181,Qiyong Gong,Qiyong Gong,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
r betzel,True,2319127593,2065804738,R. Betzel,R. Betzel,6,1,False,0,0.0,0.166667,False,ambiguous_name_collision,manual_review
r fields,True,145203858,2293737920,R. Fields,R. Fields,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
r lambiotte,True,1706831,2256689516,R. Lambiotte,R. Lambiotte,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
r mcintyre,False,8030249,32863048,R. McIntyre,R. L. McIntyre,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
r morey,True,2001160,2221073635,R. Morey,R. Morey,2,1,False,0,0.0,0.25,True,ambiguous_name_collision,manual_review
r prakash,True,2403829580,2465943,R. Prakash,R. Prakash,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
r reid,True,2247665719,2254043701,R. Reid,R. Reid,5,7,False,0,0.0,0.166667,False,ambiguous_name_collision,manual_review
r shinohara,False,2507543,2331496911,R. Shinohara,R. T. Shinohara,7,1,False,0,0.0,0.333333,False,ambiguous_name_collision,manual_review
r shinohara,False,2331496911,2238048515,R. T. Shinohara,R. Shinohara,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
r shinohara,False,2331496911,2114637239,R. T. Shinohara,R. Shinohara,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
r sullivan,True,2323177643,143651942,R. Sullivan,R. Sullivan,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
r wong,True,2272389164,2242363768,R. Wong,R. Wong,3,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
r yuste,True,47564140,2270746550,R. Yuste,R. Yuste,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
rachel wilson,True,1400235927,2310186242,Rachel I. Wilson,Rachel I. Wilson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
rafael yuste,True,2237418947,2333481083,Rafael Yuste,Rafael Yuste,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
ricardo coronado leija,True,1403294306,2336586790,Ricardo Coronado-Leija,Ricardo Coronado-Leija,1,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
robert gross,True,2253437426,2291660261,Robert E. Gross,Robert E. Gross,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
robert smith,False,2214312998,2239462102,Robert G. Smith,Robert E. Smith,1,2,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
robert smith,False,2214312998,2298916448,Robert G. Smith,Robert E. Smith,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
robert smith,False,2239462102,2115488282,Robert E. Smith,Robert G. Smith,2,3,False,0,0.0,0.333333,True,ambiguous_name_collision,manual_review
robert smith,False,2239462102,2354638452,Robert E. Smith,Robert G. Smith,2,2,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
robert smith,True,2239462102,2298916448,Robert E. Smith,Robert E. Smith,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
robert smith,False,2115488282,2298916448,Robert G. Smith,Robert E. Smith,3,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
robert smith,False,2354638452,2298916448,Robert G. Smith,Robert E. Smith,2,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
rong zhang,True,2119062092,2152042337,Rong Zhang,Rong Zhang,1,1,False,0,0.0,1.0,True,ambiguous_name_collision,manual_review
rui zhang,True,2276180869,144142353,Rui Zhang,Rui Zhang,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
ruobing zhang,True,2110064896,2303415562,Ruobing Zhang,Ruobing Zhang,1,2,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
s bickel,True,143995469,2066057282,S. Bickel,S. Bickel,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
s brown,False,4374782,2111075866,S. P. Brown,S. Brown,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
s brown,False,4374782,2108837229,S. P. Brown,S. Brown,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
s brown,True,2111075866,2108837229,S. Brown,S. Brown,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
s caspers,True,2301213239,1749053,S. Caspers,S. Caspers,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
s chan,False,2148769127,2118786751,S. S. M. Chan,S. Y. Chan,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
s cox,True,4609184,32628004,S. Cox,S. Cox,5,1,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
